request_id,customer_id,product_name,product_category,issue_category,issue_description,request_date,status,resolution_date,priority,assigned_technician
4017,1017,MacBook Pro,Mac,Display,External monitor not being detected,2023-06-15,Resolved,2023-06-20,Medium,Tech_002
4018,1018,iPhone 13,iPhone,Audio,Speakerphone volume very low during calls,2023-06-20,Resolved,2023-06-25,Medium,Tech_003
4019,1019,Apple Watch Series 8,Watch,Sensors,GPS tracking inaccurate during workouts,2023-07-01,Resolved,2023-07-05,Low,Tech_004
4020,1020,iPad Pro,iPad,Performance,Device overheating during intensive tasks,2023-07-10,Resolved,2023-07-15,High,Tech_005
4021,1021,AirPods Pro,AirPods,Noise Cancellation,Active noise cancellation not working properly,2023-07-15,Resolved,2023-07-20,Medium,Tech_001
4022,1022,iPhone 14,iPhone,Software,Face ID stops working after iOS update,2023-07-20,Resolved,2023-07-25,High,Tech_002
4023,1023,MacBook Air,Mac,Battery,Battery life significantly shorter than advertised,2023-08-01,Resolved,2023-08-05,Medium,Tech_003
4024,1024,Apple TV 4K,Apple TV,Streaming,4K content buffering and quality issues,2023-08-10,Resolved,2023-08-15,Low,Tech_004
4025,1025,iPad mini,iPad,Charging,Device not charging when plugged in,2023-08-15,Resolved,2023-08-20,High,Tech_005
4026,1026,iPhone 14 Pro,iPhone,Camera,Night mode photos appearing grainy,2023-08-20,Resolved,2023-08-25,Medium,Tech_001
4027,1027,Apple Watch Ultra,Watch,Durability,Watch band connection becoming loose,2023-09-01,Resolved,2023-09-05,Low,Tech_002
4028,1028,MacBook Pro,Mac,Keyboard,Some keys not registering when pressed,2023-09-10,Resolved,2023-09-15,Medium,Tech_003
4029,1029,AirPods,AirPods,Case,Charging case lid not staying closed,2023-09-15,Resolved,2023-09-20,Low,Tech_004
4030,1030,iPhone 13 Pro,iPhone,Network,5G connection not working in coverage area,2023-09-20,Resolved,2023-09-25,Medium,Tech_005
4031,1031,iPad Air,iPad,Storage,Available storage showing incorrectly,2023-10-01,In Progress,NULL,Low,Tech_001
4032,1032,Apple Watch Series 8,Watch,Apps,Third-party apps crashing frequently,2023-10-05,In Progress,NULL,Medium,Tech_002
4033,1033,MacBook Air,Mac,WiFi,Unable to connect to specific WiFi networks,2023-10-10,Open,NULL,Medium,Tech_003
4034,1034,iPhone 14 Plus,iPhone,Touch ID,Fingerprint recognition failing repeatedly,2023-10-15,Open,NULL,High,Tech_004
4035,1035,AirPods Pro,AirPods,Firmware,Firmware update failed and earbuds not working,2023-10-20,Open,NULL,High,Tech_005
4036,1036,iPad Pro,iPad,Stylus,Apple Pencil not pairing with device,2023-10-25,Open,NULL,Medium,Tech_001
4037,1037,iPhone 14,iPhone,Microphone,Microphone not working during phone calls,2023-11-01,Open,NULL,High,Tech_002
4038,1038,Apple TV 4K,Apple TV,Apps,Streaming apps not launching properly,2023-11-05,Open,NULL,Low,Tech_003
4039,1039,MacBook Pro,Mac,Ports,USB-C ports not recognizing external devices,2023-11-10,Open,NULL,Medium,Tech_004
4040,1040,Apple Watch SE,Watch,Water Resistance,Water damage despite water resistance rating,2023-11-15,Open,NULL,High,Tech_005
4041,1041,iPhone 14 Pro Max,iPhone,Screen,Green line appearing on display,2023-11-20,Open,NULL,High,Tech_001
4042,1042,iPad mini,iPad,Rotation,Auto-rotate function not working properly,2023-11-25,Open,NULL,Low,Tech_002
4043,1043,AirPods,AirPods,Volume,Volume buttons on AirPods not responding,2023-12-01,Open,NULL,Medium,Tech_003
4044,1044,MacBook Air,Mac,Trackpad,Trackpad clicking but not registering clicks,2023-12-05,Open,NULL,Medium,Tech_004
4045,1045,iPhone 13 Pro,iPhone,Software,Phone randomly restarting throughout the day,2023-12-10,Open,NULL,High,Tech_005
4046,1046,Apple Watch Ultra,Watch,Crown,Digital Crown stuck and not rotating,2023-12-15,Open,NULL,Medium,Tech_001
4047,1047,iPad Air,iPad,Speakers,One speaker much quieter than the other,2023-12-20,Open,NULL,Medium,Tech_002
4048,1048,iPhone 14 Pro,iPhone,MagSafe,MagSafe charging not working consistently,2023-12-25,Open,NULL,Low,Tech_003
4049,1049,AirPods Pro,AirPods,Spatial Audio,Spatial audio feature not functioning,2024-01-01,Open,NULL,Low,Tech_004
4050,1050,MacBook Pro,Mac,Sleep Mode,Computer not waking up from sleep mode,2024-01-05,Open,NULL,High,Tech_005
